batch,cores,dram,runtime_cycles,per_core_ipc,n_cores_observed,n_cores_expected,active_channels,total_channels,avg_read_latency_ns,avg_read_queue_len,row_hit_rate,total_read_reqs,read_bw_gbs,power,llc_assoc
1,8,ddr4,131788541,1.0284402495965108,8,8,1,1,21.783112371422128,1.052772,0.9715928188217025,9267730,14.402095126009478,0.6611587398733704,8
2,8,ddr4,257650087,1.0520985385888886,8,8,1,1,21.05265540136775,0.945571,0.9816454537940494,18534972,14.733013715613456,0.6998173596028309,8
4,8,ddr4,512519383,1.0578069395670056,8,8,1,1,20.911931223443613,0.926585,0.9839871449266251,37062411,14.809940900908327,0.7082053179433487,8
8,8,ddr4,1050223996,1.032439864381084,8,8,1,1,21.775379537921065,1.054031,0.9715105984719964,74119458,14.453740398443532,0.6637652571461657,8
12,8,ddr4,1559992380,1.0425946311353136,8,8,1,1,21.427131703542372,0.998779,0.9752144769753732,111185711,14.596759512889415,0.6812278803735664,8
16,8,ddr4,2092144351,1.0365375787590672,8,8,1,1,21.659888438906705,1.044019,0.9745642825393378,148283649,14.515485655033562,0.6701551439646398,8
24,8,ddr4,3134793938,1.037669277258887,8,8,1,1,21.80398834660832,1.089528,0.9777285038813064,222377834,14.528221409110051,0.6663102721466075,8
31,8,ddr4,4068168585,1.0328077001263212,8,8,1,1,21.96800365525348,1.117441,0.9766158275430247,287214828,14.458987022141807,0.6581839319151812,8
