batch,cores,dram,runtime_cycles,per_core_ipc,n_cores_observed,n_cores_expected,active_channels,total_channels,avg_read_latency_ns,avg_read_queue_len,row_hit_rate,total_read_reqs,read_bw_gbs,power,llc_assoc
1,1,ddr4,75040281,1.8481875354384667,1,1,1,1,21.223994156857454,0.215951,0.9861010193277834,1156056,3.155109038037851,0.14865764731745545,8
1,2,ddr4,79846971,1.7369289061697781,2,2,1,1,26.426066627803184,0.8651,0.9677767552569487,2312368,5.931007281415848,0.22443776309773486,8
1,3,ddr4,86129995,1.6102231516442094,3,3,1,1,32.61463813769522,2.025065,0.9774635205103513,3484972,8.286570382362148,0.2540751900228728,6
1,4,ddr4,90088270,1.5394735851848416,4,4,1,1,36.9669380213649,3.289065,0.9776468233461048,4636388,10.540021052685328,0.28512020786232717,8
1,5,ddr4,95228982,1.4563687344678324,5,5,1,1,42.07370713388575,4.868554,0.969360633926461,5812919,12.501297254232961,0.297128494393225,10
1,6,ddr4,103176819,1.3441828634007411,6,6,1,1,50.28245795481449,7.119532,0.9600006302023021,6981929,13.858724014354426,0.27561747333052694,6
1,7,ddr4,111053683,1.2488420757733898,7,7,1,1,58.70308667968655,9.622159,0.9550833095268635,8131663,14.996031985719915,0.25545559584533906,7
1,8,ddr4,119572846,1.15986627933904,8,8,1,1,67.7329018376603,12.364122,0.9514026659176678,9285394,15.903683443312874,0.23479997182802284,8
1,9,ddr4,130636526,1.06163655944127,9,9,1,1,78.68393090615625,15.469239,0.9421684836003187,10491557,16.447703711900605,0.20903510440419204,9
1,10,ddr4,141175731,0.9823821064542602,10,10,1,1,90.10617580533578,18.662752,0.932220875035873,11607270,16.838367891999795,0.18687251724429174,10
1,11,ddr4,153601105,0.9029135044308437,11,11,1,1,101.90060699856238,21.915417,0.9218298051720096,12824691,17.09946498627077,0.16780533001645428,11
1,12,ddr4,165194041,0.8395491215085658,12,12,1,1,113.3133406517094,24.969687,0.9083688747116929,13919026,17.256170425663235,0.15228719166177823,6
1,16,ddr4,215815211,0.6426262141457675,16,16,1,1,136.18693713640954,31.237587,0.8700977787969429,18560203,17.612890012650684,0.12932877692233438,8
1,24,ddr4,321985091,0.43072960791218745,24,24,1,1,140.44551039429206,31.999943,0.8010455912092259,27828254,17.700280474166426,0.1260295215167362,6
1,32,ddr4,429908774,0.32259986394229767,32,32,1,1,143.3517866724968,31.999996,0.7256136384671102,37092484,17.670122553023308,0.12326405525305856,8
1,40,ddr4,539785902,0.2569324457829208,40,40,1,1,144.78006728026875,31.999998,0.6950923884325285,46346322,17.584243512903008,0.12145486490804708,10
1,48,ddr4,650195518,0.21330278071833772,48,48,1,1,145.53589968183041,31.999998,0.6809541417220446,55641396,17.526048066052645,0.12042422594265725,6
1,56,ddr4,760952985,0.1822563479398139,56,56,1,1,146.08154276901266,31.999996,0.6704166189576605,64881285,17.461902942663404,0.11953531302906999,7
1,64,ddr4,874319939,0.15862444148148383,64,64,1,1,146.50816594427724,31.999996,0.6615003183692273,74207898,17.382398401873804,0.11864457035442658,8
1,80,ddr4,1105625115,0.1254390028938516,80,80,1,1,147.52369527146018,32.0,0.6528432991966938,92720357,17.175016066453956,0.11642208415976835,10
1,96,ddr4,1343926961,0.10319646530255151,96,96,1,1,148.21162873969018,32.0,0.6535316560307846,111231206,16.95043826775345,0.11436645296924819,6
1,112,ddr4,1596463449,0.08687233778316211,112,112,1,1,149.44536991524672,32.0,0.6576713196532219,129744471,16.644081439787474,0.11137234595642974,7
1,128,ddr4,1822688643,0.0760900730536894,128,128,1,1,149.39716360028604,32.0,0.6561961868521763,148294429,16.662582046493828,0.11153211777885404,8
