compute,cores,insts,runtime_cycles,per_core_ipc,avg_read_latency_ns,avg_read_queue_len,row_hit_rate,total_read_reqs,read_bw_gbs,power,llc_assoc
16,1,71448576,41840973,1.7076222390908549,27.844198925484577,0.977291,0.9898785179956681,1156056,5.65857464165568,0.2032227487240308,8
16,2,71448576,52692848,1.3559444727679173,50.533806338600655,4.734908,0.989160797431835,2312624,8.988418982401559,0.17786942313774773,8
16,3,71448576,54797661,1.3038617834436401,54.49880131247981,7.623324,0.986753091007802,3473882,12.983237251677586,0.2382297764172021,6
16,4,71448576,64081378,1.1149662855252582,73.14901143116799,12.969711,0.9852132461316686,4634697,14.812196229612915,0.2024934573934871,8
32,1,138688512,75040281,1.8481875354384667,21.223994156857454,0.215951,0.9861010193277834,1156056,3.155109038037851,0.14865764731745545,8
32,2,138688512,79846971,1.7369289061697781,26.426066627803184,0.8651,0.9677767552569487,2312368,5.931007281415848,0.22443776309773486,8
32,3,138688512,86129995,1.6102231516442094,32.61463813769522,2.025065,0.9774635205103513,3484972,8.286570382362148,0.2540751900228728,6
32,4,138688512,90088270,1.5394735851848416,36.9669380213649,3.289065,0.9776468233461048,4636388,10.540021052685328,0.28512020786232717,8
64,1,273168384,146133806,1.8693031508397173,20.900138580656993,0.100773,0.980423093690963,1156056,1.6201608326002266,0.07751914305963885,8
64,2,273168384,150209419,1.8185835869586846,23.201473533924457,0.298368,0.9637822863547988,2312432,3.1528387284421893,0.13588959010867172,8
64,3,273168384,149237953,1.8304216756443985,22.55080726838292,0.412355,0.9737733216145265,3477032,4.771548652908687,0.21159103512886557,6
64,4,273168384,152117950,1.795766929543818,24.181259862161188,0.694834,0.973441868646857,4627434,6.230024025435526,0.25763852094341294,8
128,1,542128128,287445439,1.8860209780542039,19.634613474606763,0.033073,0.9695525130270506,1156056,0.8236702924341758,0.0419499112370824,8
128,2,542128128,293565737,1.8467009588383947,21.42901218212642,0.101336,0.9439158564854859,2312240,1.6130859031413465,0.07527579383648839,8
128,3,542128128,292048209,1.8562967047676708,20.871036631729325,0.13874,0.9576918752492769,3477559,2.4386524596012844,0.11684385891469845,6
128,4,542128128,293733660,1.8456452284018114,21.291420493791602,0.201636,0.9527355064808962,4638556,3.2341416669781733,0.1518988208382443,8
