batch,cores,dram,runtime_cycles,per_core_ipc,n_cores_observed,n_cores_expected,active_channels,total_channels,avg_read_latency_ns,avg_read_queue_len,row_hit_rate,total_read_reqs,read_bw_gbs,power,llc_assoc
1,1,ddr4,76016363,1.8221525278708743,1,1,1,1,23.451271304608433,0.301783,0.9563305765652772,1154492,3.1103824527884876,0.1326317201480358,8
1,2,ddr4,78755614,1.7587750379293596,2,2,1,1,27.148163294703267,0.927771,0.9620061835907666,2311067,6.009813111227855,0.22137089150338202,8
1,3,ddr4,86364792,1.6038180002795583,3,3,1,1,35.06704575274039,2.304742,0.9516286661560147,3532619,8.377029046743955,0.23888607856535257,6
1,4,ddr4,91300152,1.5171213296556176,4,4,1,1,40.994800911522,3.86343,0.951882451701927,4695224,10.532095008998452,0.25691294444214025,8
1,5,ddr4,96890910,1.4295810411936476,5,5,1,1,46.464742818026636,5.584877,0.9531683694762527,5858731,12.383701513382421,0.2665182407633599,10
1,6,ddr4,107812427,1.284762915132223,6,6,1,1,57.37111224018224,8.386298,0.9438410949201853,7155833,13.5931880876775,0.23693436569209383,6
1,7,ddr4,117439728,1.1794425136951951,7,7,1,1,65.77400751152304,10.886149,0.9388008519448378,8404687,14.656708823440054,0.22283435931545337,7
1,8,ddr4,128047608,1.0817336626858347,8,8,1,1,76.37073885168395,13.760537,0.9260837862766792,9565189,15.298612272397936,0.2003203386850644,8
1,9,ddr4,139099366,0.9957874861917055,9,9,1,1,86.0816257859445,16.600193,0.9217483190536688,10825828,15.93917814406142,0.18516353517412293,9
1,10,ddr4,151237179,0.9158687626671481,10,10,1,1,96.72336950262847,19.459599,0.9109198405302534,12010740,16.264516227190406,0.1681549796168796,10
1,11,ddr4,163437659,0.8474999510363765,11,11,1,1,108.33515062338151,22.545084,0.8982973918786881,13185184,16.522053116289435,0.15250870120379517,11
1,12,ddr4,177601312,0.7799120763252019,12,12,1,1,119.14077303551173,25.398491,0.885851670527976,14494360,16.714093463453693,0.1402886101676695,6
1,16,ddr4,231113819,0.5993298392944647,16,16,1,1,140.44020700205138,31.105358,0.8493564902058779,19297002,17.099912184826994,0.12175937753051888,8
1,24,ddr4,347878859,0.39816563845864517,24,24,1,1,145.6492810156445,31.998533,0.7726710329721564,29084153,17.122151519992194,0.11755740502524738,6
1,32,ddr4,463039622,0.2991394287204217,32,32,1,1,147.89529362576383,31.999996,0.7136847526187279,38742697,17.135691998297286,0.11586367340165445,8
