compute,cores,insts,runtime_cycles,per_core_ipc,avg_read_latency_ns,avg_read_queue_len,row_hit_rate,total_read_reqs,read_bw_gbs,power,llc_assoc
16,1,68296704,62524039,1.0923271287704237,19.78384655748709,0.170346,0.9815634039667271,1156016,3.786576820477001,0.1913974013837057,8
16,2,68296704,63298804,1.0789572580233902,20.325878882269606,0.400181,0.982264157797232,2312436,7.481766840333981,0.36809069283888995,8
16,3,68296704,63896119,1.0688709278258355,20.620896028952753,0.646818,0.9830109470620074,3475179,11.138652399216923,0.5401633558298198,6
16,4,68296704,66627412,1.0250541323742246,22.10302106320539,1.152247,0.9830410547008525,4628118,14.225955022836548,0.6436203893647059,8
32,1,135536640,124382912,1.0896725106419762,19.65018390906016,0.078158,0.9727581860820386,1156017,1.9034148484962305,0.09686498901512154,8
32,2,135536640,126470717,1.0716839693412983,20.354189591703463,0.190875,0.9677873450129525,2312290,3.744400310468707,0.1839621417300228,8
32,3,135536640,126437610,1.071964583955676,20.336303197122607,0.290581,0.9729188502081647,3470089,5.620750243539086,0.2763899706380444,6
32,4,135536640,127191178,1.0656135286363964,20.468833922003135,0.401734,0.9735882546409373,4636725,7.465936670544871,0.3647465556168934,8
64,1,270016512,162657381,1.6600323350835213,19.959953030102497,0.070279,0.9841706480095016,1156017,1.4555274414506896,0.07292238810660244,8
64,2,270016512,175728279,1.5365569704350204,23.62514276681852,0.247296,0.917912539106051,2312302,2.6948391704217394,0.11406657716399654,8
64,3,270016512,170835629,1.5805632208021432,22.337032163920487,0.323692,0.9478549557273468,3469975,4.159851689953974,0.18623117249538207,6
64,4,270016512,169418191,1.5937870095661688,21.955478391957843,0.413686,0.9580308705893332,4628809,5.59550351473178,0.25485682501827783,8
128,1,538976256,239637078,2.249135486454229,20.779011333733557,0.059817,0.9815703561709247,1156018,0.9879626657774554,0.04754618253533331,8
128,2,538976256,268370630,2.008328020096685,28.683106023262702,0.236854,0.7422229526204599,2312285,1.764559586866864,0.06151912507089584,8
128,3,538976256,254939568,2.1141334012145183,25.042197281134744,0.288225,0.8685522832899462,3472993,2.7899512499370047,0.11141000203040421,6
128,4,538976256,246221064,2.188993286130873,22.629987834192708,0.311568,0.9416567992409728,4632245,3.8529756982936276,0.17025973352367368,8
